Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
,B000591.1,Bộ khớp háng toàn phần không xi măng loại 5,Khớp háng toàn phần 45,5,"69,470,000",CÔNG TY TNHH XUẤT NHẬP KHẨU HOÀNG NĂM,Corin Ltd,Vương quốc Liên hiệp Anh,42.22,45,19,19,2,4,2,1,1,2,0,1,1,5,0,0
,B000590.1,Bộ khớp háng toàn phần 2 trục linh động loại 2,Khớp háng toàn phần 46,6,"74,750,000",CÔNG TY TNHH XUẤT NHẬP KHẨU HOÀNG NĂM,Corin Ltd,Vương quốc Liên hiệp Anh,20.00,60,12,12,0,0,0,0,2,5,1,2,0,0,0,2
,B000530.1,Bộ Khớp háng toàn phần không xi măng chuôi dài loại thẳng góc cổ 130 độ,Khớp háng toàn phần 47,6,"73,500,000",TỔNG CÔNG TY THIẾT BỊ Y TẾ VIỆT NAM -CTCP,United orthopedic Corporation,Đài Loan,10.00,20,2,2,0,0,0,0,0,0,1,0,0,0,0,1
,B000500.1,Bộ khớp háng toàn phần không xi măng góc cổ 130 độ (kích thước chỏm 28/32/36) loại 1,Khớp háng toàn phần 48,6,"63,800,000",TỔNG CÔNG TY THIẾT BỊ Y TẾ VIỆT NAM -CTCP,United orthopedic Corporation,Đài Loan,35.00,20,7,7,1,2,1,1,1,0,0,1,0,0,0,0
,B000502.1,Bộ khớp háng toàn phần không xi măng góc cổ 130 độ,Khớp háng toàn phần 49,6,"75,850,000",TỔNG CÔNG TY THIẾT BỊ Y TẾ VIỆT NAM -CTCP,United orthopedic Corporation,Đài Loan,97.50,80,78,78,5,2,3,6,7,5,5,7,9,13,11,5
,B000504.1,Bộ khớp háng toàn phần không xi măng góc cổ 130 độ (kích thước chỏm 28/32/36) loại 2,Khớp háng toàn phần 50,6,"55,000,000",TỔNG CÔNG TY THIẾT BỊ Y TẾ VIỆT NAM -CTCP,United orthopedic Corporation,Đài Loan,0.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000587.1,Bộ Khớp háng toàn phần không xi măng chuôi dài loại thẳng góc cổ 130 độ (kích thước chỏm 28/32/36) loại 2,Khớp háng toàn phần 51,6,"82,300,000",TỔNG CÔNG TY THIẾT BỊ Y TẾ VIỆT NAM -CTCP,United orthopedic Corporation,Đài Loan,40.00,10,4,4,0,0,0,1,0,0,1,1,0,0,1,0
,B000588.1,Bộ Khớp háng toàn phần không xi măng chuôi dài loại thẳng góc cổ 130 độ (kích thước chỏm 28/32/36/40) loại 3,Khớp háng toàn phần 52,6,"94,300,000",TỔNG CÔNG TY THIẾT BỊ Y TẾ VIỆT NAM -CTCP,United orthopedic Corporation,Đài Loan,70.00,10,7,7,0,1,1,0,0,0,1,1,0,1,1,1
"Khớp vai các loại, các cỡ",5,,,,,,,,,,,,,,,,,,,,,,,
,B000649.1,"Khớp vai toàn phần Hybrid, dạng module, chuôi có xi măng, chảo nghịch đảo",Khớp vai 1,8,"80,000,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000650.2,Khớp vai toàn phần Hybrid. dạng module. chuôi có xi măng. lớp lót PE,,8,"81,000,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000325.1,Bộ khớp vai bán phần có xi măng,,5,"65,000,000",CÔNG TY TNHH IDS MEDICAL SYSTEMS VIỆT NAM,"Lima Corporate 
 S.p.A",Ý,0.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000326.1,Bộ khớp vai bán phần không xi măng,,4,"72,000,000",CÔNG TY TNHH IDS MEDICAL SYSTEMS VIỆT NAM,"Lima Corporate 
 S.p.A",Ý,0.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,B000328.1,Bộ khớp vai toàn phần không xi măng,,6,"131,000,000",CÔNG TY TNHH IDS MEDICAL SYSTEMS VIỆT NAM,"Lima Corporate 
 S.p.A",Ý,130.00,10,13,13,0,0,2,2,0,0,0,0,5,1,3,0
