Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
,C00113.1,Bộ khớp háng bán phần không xi măng loại 1,Khớp háng bán phần 7,3,"41,500,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast GmbH,Đức,10.00,50,5,5,4,1,0,0,0,0,0,0,0,0,0,0
,C00074.1,Bộ khớp háng bán phần không xi măng loại 2,Khớp háng bán phần 8,3,"38,560,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,"Smith & Nephew, Inc",Thụy Sĩ,28.00,25,7,7,1,2,4,0,0,0,0,0,0,0,0,0
"Khớp háng toàn phần các loại, các cỡ",21,,,,,,,,,,,,,,,,,,,,,,,
,C00145.1,Bộ khớp háng bán phần không xi măng loại chuôi cố định đầu gần,Khớp háng toàn phần 1,3,"39,790,000",CÔNG TY CỔ PHẦN TM VIỆT CƯỜNG,United orthopedic Corporation,Đài Loan,50.00,10,5,5,2,1,2,0,0,0,0,0,0,0,0,0
,C00146.3,"Bộ khớp háng bán phần không xi măng, chuôi dài dạng thẳng",Khớp háng toàn phần 2,3,"58,290,000",CÔNG TY CỔ PHẦN TM VIỆT CƯỜNG,United orthopedic Corporation,Đài Loan,13.33,30,4,4,1,2,1,0,0,0,0,0,0,0,0,0
,C00068.1,Bộ khớp háng toàn phần 2 trục linh động loại 1,Khớp háng toàn phần 3,6,"78,750,000",CÔNG TY TNHH XUẤT NHẬP KHẨU HOÀNG NĂM,Corin Ltd,UK,8.33,60,5,5,1,0,4,0,0,0,0,0,0,0,0,0
,C00076.1,Bộ khớp háng toàn phần chuôi khớp không xi măng,Khớp háng toàn phần 4,5,"74,460,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,"Smith & Nephew, Inc",Thụy Sĩ,10.00,30,3,3,1,1,1,0,0,0,0,0,0,0,0,0
,C00128.1,Bộ khớp háng toàn phần không xi măng 2 chuyển động,Khớp háng toàn phần 5,6,"74,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,Signature Orthopaedics Europe Limited,Ireland,20.00,30,6,6,2,3,1,0,0,0,0,0,0,0,0,0
,C00100.2,Bộ khớp háng toàn phần không xi măng bề mặt chuôi phủ HA loại 2,Khớp háng toàn phần 6,5,"59,000,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast GmbH,Đức,40.00,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0
,C00053.5,Bộ khớp háng toàn phần không xi măng cấu trúc 3D,Khớp háng toàn phần 7,5,"98,000,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG CODUPHA,"Limacorporate 
 S.p.A",Ý,2.50,80,2,2,2,0,0,0,0,0,0,0,0,0,0,0
,C00133.2,Bộ khớp háng toàn phần không xi măng chỏm lớn loại 3,Khớp háng toàn phần 8,5,"59,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,Signature Orthopaedics Europe Limited,Ireland,1.67,60,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,C00064.3,Bộ khớp háng toàn phần không xi măng chuôi chống xoay loại 1,Khớp háng toàn phần 9,5,"79,350,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ VÀ VẬT TƯ Y TẾ HÀ NỘI,- HiPer/ Đức (Atesos phân phối),Đức,28.57,70,20,20,2,2,16,0,0,0,0,0,0,0,0,0
,C00063.2,Bộ khớp háng toàn phần không xi măng chuôi chống xoay loại 2,Khớp háng toàn phần 10,5,"70,550,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ VÀ VẬT TƯ Y TẾ HÀ NỘI,-Atesos/ Thụy Sỹ,Thụy Sỹ,20.00,20,4,4,2,0,2,0,0,0,0,0,0,0,0,0
,C00147.1,Bộ khớp háng toàn phần không xi măng chuôi dài loại thẳng loại 1,Khớp háng toàn phần 11,5,"72,410,000",CÔNG TY CỔ PHẦN TM VIỆT CƯỜNG,United orthopedic Corporation,Đài Loan,15.00,20,3,3,3,0,0,0,0,0,0,0,0,0,0,0
,C00148.4,Bộ khớp háng toàn phần không xi măng góc cổ 130 độ loại 2,Khớp háng toàn phần 12,5,"62,710,000",CÔNG TY CỔ PHẦN TM VIỆT CƯỜNG,United orthopedic Corporation,Đài Loan,15.00,20,3,3,2,0,1,0,0,0,0,0,0,0,0,0
,C00130.2,Bộ khớp háng toàn phần không xi măng loại 1,Khớp háng toàn phần 13,5,"69,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,Signature Orthopaedics Europe Limited,Ireland,,30,9,9,4,3,2,0,0,0,0,0,0,0,0,0
,C00044.1,"Bộ khớp háng toàn phần không xi măng, chuôi dạng giải phẫu học loại 1",Khớp háng toàn phần 14,4,"95,000,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ KINDAKARE,Waldemar Link GmbH & Co. KG-Đức,Đức,22.50,80,18,18,6,3,9,0,0,0,0,0,0,0,0,0
,C00097.1,"Bộ khớp háng toàn phần không xi măng, góc cổ chuôi 133/135/138 độ, chỏm 32/36mm",Khớp háng toàn phần 15,5,"78,500,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast GmbH,Đức,13.33,15,2,2,2,0,0,0,0,0,0,0,0,0,0,0
,C00098.3,"Bộ khớp háng toàn phần không xi măng, góc cổ chuôi 133/135/138 độ, ổ cối công nghệ in 3D loại 2",Khớp háng toàn phần 16,5,"74,000,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast GmbH,Đức,2.86,35,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,C00102.1,"Bộ khớp háng toàn phần không xi măng, góc cổ chuôi 133/138 độ loại 1",Khớp háng toàn phần 17,5,"64,500,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast GmbH,Đức,10.00,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0
