Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
,A21041,"Bộ stent graft cho động mạch chủ ngực phủ ái nước, kèm phụ kiện ",Stent graft ngực loại 2,1,280000000,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP VẬT TƯ Y TẾ,Medtronic Ireland,Ireland,30,25,25,0,1,2,1,4,3,2,2,0,4,0,6
,A21031,"Bộ stent graft cho động mạch chủ ngực thuôn dài, đường kính lớn ",Stent graft ngực loại 3,1,265000000,CÔNG TY CỔ PHẦN THƯƠNG MẠI CỔNG VÀNG,Jotec GmbH,Đức,10,9,9,0,1,1,1,2,1,1,1,0,0,1,0
,A21111,Bộ stent Graft có nhánh bên dùng cho động mạch chủ ngực - bụng ,Stent graft ngực loại 4,1,650000000,CÔNG TY CỔ PHẦN THƯƠNG MẠI CỔNG VÀNG,Jotec GmbH,Đức,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A02201,Hệ thống khung giá đỡ động mạch kèm đoạn mạch nhân tạo ,Stent graft ngực loại 5,1,325000000,CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Jotec GmbH,Đức,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A21101,Stent graft nối dài cho động mạch chủ ngực ,Stent graft ngực loại 6,1,60000000,CÔNG TY CỔ PHẦN THƯƠNG MẠI Y TẾ TÂM VIỆT,Bolton Medical Inc,Mỹ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06.02.070,3,"Stent graft động mạch chủ bụng các loại, các cỡ",,1,,,,,,,,,,,,,,,,,,,
,A21021,Bộ stent graft cho động mạch chủ bụng không đối xứng kèm phụ kiện ,Stent graft bụng loại 1,1,290000000,CÔNG TY CỔ PHẦN THƯƠNG MẠI CỔNG VÀNG,Jotec GmbH,Đức,25,28,28,0,1,3,1,2,3,1,5,2,6,1,3
,A21051,Bộ stent graft điều trị phình động mạch chủ bụng ,Stent graft bụng loại 2,1,340000000,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP VẬT TƯ Y TẾ,Medtronic Ireland,Ireland,25,30,30,1,1,2,4,1,1,5,7,1,3,0,4
,A21071,Stent Graft bổ sung cho điều trị phình động mạch chủ các loại ,Stent graft bụng loại 3,1,84000000,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP VẬT TƯ Y TẾ,Medtronic Ireland,Ireland,20,25,25,4,2,0,4,0,1,3,1,2,1,0,7
N06.02.080,4,"Stent nội mạch làm thay đổi hướng dòng chảy các loại, các cỡ",,1,,,,,,,,,,,,,,,,,,,
,A24011,Khung giá đỡ (stent) chuyển hướng dòng chảy cho can thiệp điều trị phình mạch não. ,Stent đổi dòng loại 1,1,172000000,CÔNG TY CỔ PHẦN THIẾT BỊ VẬT TƯ Y TẾ THANH HÓA,Acandis,Đức,130,107,107,4,9,9,9,6,16,5,10,8,23,5,3
,A24021,Khung giá đỡ (stent) mạch não đổi hướng dòng chảy ,Stent đổi dòng loại 2,1,176000000,CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Micro Therapeutics, Inc. dba ev3 Neurovascular",Mỹ,170,249,249,7,14,18,30,19,22,25,29,18,15,23,29
,A24031,Khung giá đỡ (stent) nội mạch chặn dòng chảy trong túi phình mạch não ,Stent đổi dòng loại 3,1,215000000,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN Y TẾ VIỆT NHẬT,"MicroVention, Inc.",Hoa Kỳ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A24041,Khung giá đỡ (Stent) thay đổi dòng chảy ,Stent đổi dòng loại 4,1,175000000,CÔNG TY TNHH VINACATECH,Phenox GmbH,Đức,30,37,37,2,0,7,2,11,2,3,0,1,2,1,6
N06.02.090,6,"Khung giá đỡ (stent có màng bọc, cover stent) các loại, các cỡ",,1,,,,,,,,,,,,,,,,,,,
,A28011,Khung giá đỡ (stent) có màng bọc dùng cho can thiệp mạch máu ,Stent màng bọc loại 1,1,59600000,CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC KIM HÒA PHÁT,"Bentley 
 Innomed GmbH",Đức,50,26,26,1,2,5,4,3,3,0,2,1,3,2,0
,A27031,"Khung giá đỡ (stent) động mạch có màng bọc, bung bằng bóng cho điều trị tổn thương xơ vữa động mạch chậu ",Stent màng bọc loại 2,1,60000000,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ Y TẾ DMEC,ClearStream Technologies LTD,Ireland,10,6,6,0,0,0,1,0,4,0,0,1,0,0,0
,A28031,Khung giá đỡ (Stent) động mạch ngoại biên có màng bọc ,Stent màng bọc loại 3,1,50000000,CÔNG TY CỔ PHẦN HANMEDIC VIỆT NAM,Scitech Produtos Medicos SA,Brazil,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A28021,"Khung giá đỡ (stent) động mạch ngoại biên có màng bọc cho điều trị phình, hẹp động mạch. ",Stent màng bọc loại 4,1,75000000,CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC KIM HÒA PHÁT,"Bentley 
 Innomed GmbH",Đức,20,10,10,0,0,0,0,0,1,5,0,1,2,0,1
,A26011,Khung giá đỡ (stent) niệu đạo phủ toàn bộ các cỡ ,Stent màng bọc loại 5,1,28000000,CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ ĐẠI DƯƠNG,Allium Ltd,Israel,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A26021,Khung giá đỡ (stent) tiền liệt tuyến phủ toàn bộ các cỡ ,Stent màng bọc loại 6,1,28000000,CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ ĐẠI DƯƠNG,Allium Ltd,Israel,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06.02.100,14,"Giá đỡ (stent) các loại, các cỡ khác",,1,,,,,,,,,,,,,,,,,,,
,A29011,"Khung giá đỡ (Stent) bắc cầu cho túi phình mạch não cổ rộng, có thể thay đổi kích thước ",Giá đỡ stent loại 1,1,37000000,CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ ĐẠI DƯƠNG,Rapid Medical Ltd,Israel,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27021,Khung giá đỡ (stent) động mạch chậu có màng bọc sinh học vĩnh viễn loại tự nở ,Giá đỡ stent loại 2,1,25000000,CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ NGỌC LAM,CID S.p.A,Italy,30,32,32,1,3,3,7,3,1,0,5,0,0,4,5
,A27051,Khung giá đỡ (stent) động mạch ngoại vi dạng lưới đan ,Giá đỡ stent loại 3,1,20000000,CÔNG TY TNHH THIÊN VIỆT,Optimed Medizinische Instrumente GmbH.,Đức,45,19,19,1,1,0,0,1,0,0,3,1,7,2,3
,A25011,"Khung giá đỡ (stent) kim loại cho kỹ thuật Tips, chống dịch chuyển. ",Giá đỡ stent loại 4,1,28865000,CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT BỊ Y TẾ TIẾN PHÁT,"Tae Woong Medical Co., Ltd",Hàn Quốc,30,13,13,1,0,3,1,2,1,1,0,1,0,1,2
,A25021,"Khung giá đỡ (stent) kim loại đường mật can thiệp qua nội soi tự bung, có gắn thòng lọng để thu hồi Stent khi cần. ",Giá đỡ stent loại 5,1,22000000,CÔNG TY TNHH MỘT THÀNH VIÊN CVS MEDICAL,"Mediwood Co., Ltd",Hàn Quốc,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0
,A23061,Khung giá đỡ (Stent) mạch máu thần kinh ,Giá đỡ stent loại 6,1,75000000,CÔNG TY TNHH VINACATECH,femtos GmbH,Đức,10,22,22,0,0,0,0,0,3,6,0,1,0,2,10
,A23021,Khung giá đỡ (stent) mạch não tự giãn nở hỗ trợ can thiệp và điều trị phình mạch não và hỗ trợ thả coil ,Giá đỡ stent loại 7,1,54450000,CÔNG TY CỔ PHẦN Y DƯỢC VÀ CÔNG NGHỆ TUỆ ĐỨC,Acandis,Đức,70,107,107,7,11,10,7,11,5,6,5,6,11,10,18
,A23031,"Khung giá đỡ (stent) mạch não tự giãn nở, dùng trong điều trị xơ vữa động mạch nội sọ có thể thu hồi ",Giá đỡ stent loại 8,1,71000000,CÔNG TY CỔ PHẦN Y DƯỢC VÀ CÔNG NGHỆ TUỆ ĐỨC,Acandis,Đức,70,66,66,7,10,3,5,2,4,3,6,3,6,11,6
,A27121,Khung giá đỡ (stent) tĩnh mạch các cỡ ,Giá đỡ stent loại 9,1,46500000,CÔNG TY TNHH THIÊN VIỆT,Optimed Medizinische Instrumente GmbH.,Đức,10,4,4,1,0,0,0,0,0,0,1,0,0,2,0
,A02621,Lưới lọc tĩnh mạch chủ dưới tạm thời ,Giá đỡ stent loại 10,1,29400000,CÔNG TY TNHH THIÊN VIỆT,"Argon Medical Devices, Inc.",Hoa kỳ,10,5,5,0,0,0,0,0,0,1,1,0,0,1,2
,A25111,"Stent kim loại đường mật tự bung, có cover ",Giá đỡ stent loại 11,1,21000000,CÔNG TY TNHH THIẾT BỊ Y TẾ ETC,"M.I.Tech Co., Ltd.",Hàn Quốc,50,33,33,0,0,0,13,4,5,7,1,1,1,0,1
,A25131,"Stent kim loại đường mật, loại dẫn lưu mật ra dạ dày dưới nội soi siêu âm. ",Giá đỡ stent loại 12,1,21000000,CÔNG TY TNHH THIẾT BỊ Y TẾ ETC,"M.I.Tech Co., Ltd.",Hàn Quốc,50,8,8,0,0,0,1,0,3,1,0,1,2,0,0
,A25141,"Stent kim loại đường mật, loại dẫn lưu nang giả tụy ",Giá đỡ stent loại 13,1,21000000,CÔNG TY TNHH THIẾT BỊ Y TẾ ETC,"M.I.Tech Co., Ltd.",Hàn Quốc,30,12,12,0,0,0,0,0,2,1,2,1,0,2,4
,A25121,Stent kim loại tá tràng tự bung có cover hoặc không cover ,Giá đỡ stent loại 14,1,23000000,CÔNG TY TNHH THIẾT BỊ Y TẾ ETC,"M.I.Tech Co., Ltd.",Hàn Quốc,10,10,10,0,0,0,1,2,4,0,0,0,0,0,3
