Nhóm,Mã,Bộ ,Tên,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,SL thầu năm trước
Giá đỡ (stent) các loại,Giá đỡ 1,Khung giá đỡ (stent) nội mạch thay đổi dòng chảy mạch não loại 2 lớp,Giá đỡ 1,1,"205,000,000",Công ty TNHH TBYT Danh,Microvention,Costa Rica,40.00,5,2,2,0
Giá đỡ (stent) các loại,Giá đỡ 2,"Stent kim loại cho kỹ thuật tips, 3 lớp phủ PTFE các cỡ",Giá đỡ 2,1,"31,500,000",Công ty TNHH Kỹ Thuật Đồng Minh,"TaeWoong Medical Co., Ltd.",Hàn Quốc,106.67,30,32,32,0
Giá đỡ (stent) các loại,Giá đỡ 3,"Stent kim loại đường mật nitinol, đặt vùng rốn gan các cỡ",Giá đỡ 3,1,"24,500,000",Công ty TNHH Kỹ Thuật Đồng Minh,"TaeWoong Medical Co., Ltd.",Hàn Quốc,0.00,5,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 4,"Stent kim loại đường mật phủ toàn bộ silicone, lượn sóng từng đoạn",Giá đỡ 4,1,"28,500,000",Công ty TNHH Kỹ Thuật Đồng Minh,"TaeWoong Medical Co., Ltd.",Hàn Quốc,0.00,1,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 5,"Stent kim loại đường mật, có phủ hoặc không phủ silicone, nhớ hình các cỡ",Giá đỡ 5,1,"23,000,000",Công ty TNHH Kỹ Thuật Đồng Minh,"TaeWoong Medical Co., Ltd.",Hàn Quốc,0.00,75,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 6,"Stent kim loại thực quản nitinol, có phủ, đủ các cỡ",Giá đỡ 6,1,"23,000,000",Công ty TNHH Kỹ Thuật Đồng Minh,"TaeWoong Medical Co., Ltd.",Hàn Quốc,0.00,6,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 7,"Stent kim loại thực quản phủ silicone, 2 lớp chống dịch chuyển các cỡ",Giá đỡ 7,1,"24,500,000",Công ty TNHH Kỹ Thuật Đồng Minh,"TaeWoong Medical Co., Ltd.",Hàn Quốc,0.00,10,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 8,"Stent kim loại thực quản, 2 lớp chống dịch chuyển, có van chống trào ngược các cỡ",Giá đỡ 8,1,"25,500,000",Công ty TNHH Kỹ Thuật Đồng Minh,"TaeWoong Medical Co., Ltd.",Hàn Quốc,0.00,7,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 9,Khung giá đỡ (stent) tĩnh mạch các cỡ,Giá đỡ 9,1,"46,500,000",Công ty TNHH Thiên Việt,Optimed,Đức,20.00,5,1,1,0
Giá đỡ (stent) các loại,Giá đỡ 10,Khung giá đỡ (stent) mạch não đổi hướng dòng chảy,Giá đỡ 10,1,"220,000,000",Công ty CP Thiết Bị Y Tế VNT,Ev3,Mỹ,92.86,70,65,65,0
Giá đỡ (stent) các loại,Giá đỡ 11,Khung giá đỡ (stent) mạch não lấy huyết khối chuyên dụng,Giá đỡ 11,1,"45,000,000",Công ty CP Thiết Bị Y Tế VNT,Ev3,Mỹ,26.25,80,21,21,0
Giá đỡ (stent) các loại,Giá đỡ 12,Khung giá đỡ (stent) chuyển hướng dòng chảy cho can thiệp điều trị phình mạch não chất liệu nitimol hỗn hợp,Giá đỡ 12,1,"220,000,000",Công ty CP Dược Phẩm TW Codupha,Acandis,Đức,40.00,50,20,20,0
Giá đỡ (stent) các loại,Giá đỡ 13,"Khung giá đỡ (stent) lấy huyết khối trong can thiệp mạch não, có mắt lưới đóng mở xen kẽ",Giá đỡ 13,1,"54,000,000",Công ty CP Dược Phẩm TW Codupha,Acandis,Đức,0.00,20,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 14,Khung giá đỡ (stent) mạch não tự giãn nở cho can thiệp và điều trị xơ vữa động mạch nội sọ hỗ trợ thả coil,Giá đỡ 14,1,"58,000,000",Công ty CP Dược Phẩm TW Codupha,Acandis,Đức,100.00,30,30,30,0
Giá đỡ (stent) các loại,Giá đỡ 15,"Khung giá đỡ (stent) mạch não tự giãn nở, dùng trong điều trị xơ vữa động mạch nội sọ có thể thu hồi",Giá đỡ 15,1,"73,550,000",Công ty CP Dược Phẩm TW Codupha,Acandis,Đức,60.00,20,12,12,0
Giá đỡ (stent) các loại,Giá đỡ 16,Bộ stent graft điều trị phình động mạch chủ bụng,Giá đỡ 16,1,"340,000,000",Liên Danh Công ty TNHH Thương Mại Tổng Hợp Vinatrading – Thanh Phương,Medtronic,Ireland,100.00,15,15,15,0
Giá đỡ (stent) các loại,Giá đỡ 17,"Bộ stent graft cho động mạch chủ ngực loại nitinol polyester, phủ hydrophilic",Giá đỡ 17,1,"280,000,000",Liên Danh Công ty TNHH Thương Mại Tổng Hợp Vinatrading – Thanh Phương,Medtronic,Ireland,20.00,10,2,2,0
Giá đỡ (stent) các loại,Giá đỡ 18,Bộ stent graft điều trị phình động mạch chủ ngực loại graft đa sợi,Giá đỡ 18,1,"320,000,000",Liên Danh Công ty TNHH Thương Mại Tổng Hợp Vinatrading – Thanh Phương,Medtronic,Ireland,25.00,8,2,2,0
Giá đỡ (stent) các loại,Giá đỡ 19,Stent graft bổ sung cho điều trị phình động mạch chủ các loại,Giá đỡ 19,1,"85,000,000",Liên Danh Công ty TNHH Thương Mại Tổng Hợp Vinatrading – Thanh Phương,Medtronic,Ireland,13.33,15,2,2,0
Giá đỡ (stent) các loại,Giá đỡ 20,Stent đường mật bằng nhựa,Giá đỡ 20,1,"900,000",Công ty CP VT và TTBYT Cường An,Boston Scientific,Mỹ,0.00,305,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 21,"Stent đường mật, sợi đơn, không có cover các số",Giá đỡ 21,1,"19,000,000",Công ty CP VT và TTBYT Cường An,S&G Biotech,Hàn Quốc,0.00,10,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 22,"Stent đường mật, sợi kép, có cover các số",Giá đỡ 22,1,"18,500,000",Công ty CP VT và TTBYT Cường An,S&G Biotech,Hàn Quốc,0.00,10,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 23,Stent kim loại đường mật,Giá đỡ 23,1,"19,000,000",Công ty CP VT và TTBYT Cường An,S&G Biotech,Hàn Quốc,0.00,20,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 24,Stent kim loại đường mật phủ toàn phần hoặc một phần hoặc không phủ các cỡ,Giá đỡ 24,1,"29,500,000",Công ty CP VT và TTBYT Cường An,Boston Scientific,Ireland,0.00,10,0,0,0
Giá đỡ (stent) các loại,Giá đỡ 25,Stent kim loại thực quản có cover,Giá đỡ 25,1,"19,000,000",Công ty CP VT và TTBYT Cường An,S&G Biotech,Hàn Quốc,10.00,10,1,1,0
Giá đỡ (stent) các loại,Giá đỡ 26,Stent kim loại thực quản có van chống trào ngược,Giá đỡ 26,1,"19,000,000",Công ty CP VT và TTBYT Cường An,S&G Biotech,Hàn Quốc,10.00,10,1,1,0
Giá đỡ (stent) các loại,Giá đỡ 27,"Stent nhựa tuyến tụy loại đuôi heo, thẳng",Giá đỡ 27,1,"2,500,000",Công ty CP VT và TTBYT Cường An,Boston Scientific,Ireland,0.00,50,0,0,0
