Nhóm,Mã,Bộ ,Tên,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,SL thầu năm trước
"Giá đỡ (stent) các loại, các cỡ khác",G12103.01,Hệ thống khung giá đỡ động mạch kèm đoạn mạch nhân tạo,G12103.01,1,"325,000,000",0,Jotec Gmbh,Đức,0.00,1,0,0,Giá đỡ khác
"Giá đỡ (stent) các loại, các cỡ khác",G12103.05,Khung giá đỡ (stent) chuyển hướng dòng chảy cho can thiệp điều trị phình động mạch não loại mini,G12103.05,1,"180,000,000",4,Acandis,Đức,80.00,5,4,4,Stent mạch não
"Giá đỡ (stent) các loại, các cỡ khác",G12103.06,Khung giá đỡ (stent) chuyển hướng dòng chảy cho can thiệp điều trị phình mạch não.,G12103.06,1,"180,000,000",0,Acandis,Đức,0.00,60,0,0,Stent mạch não
"Giá đỡ (stent) các loại, các cỡ khác",G12103.07,Khung giá đỡ (stent) mạch não tự giãn nở hỗ trợ can thiệp và điều trị phình mạch não và hỗ trợ thả coil,G12103.07,1,"54,450,000",69,Acandis,Đức,115.00,60,69,69,Stent mạch não
"Giá đỡ (stent) các loại, các cỡ khác",G12103.08,"Khung giá đỡ (stent) mạch não tự giãn nở, dùng trong điều trị xơ vữa động mạch nội sọ có thể thu hồi",G12103.08,1,"71,500,000",33,Acandis,Đức,82.50,40,33,33,Stent mạch não
"Giá đỡ (stent) các loại, các cỡ khác",G12104.13,Stent Graft bổ sung cho điều trị phình động mạch chủ các loại,G12104.13,1,"84,000,000",10,Medtronic Ireland,Ireland,100.00,10,10,10,Giá đỡ khác
"Giá đỡ (stent) các loại, các cỡ khác",G12107.19,Khung giá đỡ (stent) mạch não đổi hướng dòng chảy,G12107.19,1,"220,000,000",0,"Micro Therapeutics, Inc. dba ev3 Neurovascular",Mỹ,0.00,80,0,0,Stent mạch não
"Giá đỡ (stent) các loại, các cỡ khác",G12107.20,Khung giá đỡ (stent) mạch não lấy huyết khối chuyên dụng,G12107.20,1,"45,000,000",0,"Micro Therapeutics, Inc. dba ev3 Neurovascular",Mỹ,0.00,5,0,0,Stent mạch não
"Giá đỡ (stent) các loại, các cỡ khác",G12107.21,Khung giá đỡ (stent) nhớ hình nong mạch máu ngoại vi,G12107.21,1,"22,000,000",155,EV3 Inc,Mỹ,129.17,120,155,155,Giá đỡ khác
"Giá đỡ (stent) các loại, các cỡ khác",G12107.22,Khung giá đỡ (stent) sử dụng lấy huyết khối trong điều trị mạch não,G12107.22,1,"45,000,000",36,"Micro Therapeutics, Inc. dba ev3 Neurovascular",Mỹ,120.00,30,36,36,Stent mạch não
"Giá đỡ (stent) các loại, các cỡ khác",G12108.01,Bộ stent graft cho động mạch chủ bụng kiểu không đối xứng kèm phụ kiện,G12108.01,1,"290,000,000",10,Jotec GmbH,Đức,200.00,5,10,10,Stent graft động mạch chủ
"Giá đỡ (stent) các loại, các cỡ khác",G12111.03,Khung giá đỡ (Stent) động mạch chậu có màng bọc sinh học vĩnh viễn loại tự nở,G12111.03,1,"25,000,000",7,CID S.p.A,Italy,70.00,10,7,7,Giá đỡ khác
"Giá đỡ (stent) các loại, các cỡ khác",G12112.05,Khung giá đỡ (stent) niệu đạo phủ toàn bộ các cỡ,G12112.05,1,"28,000,000",1,Allium Ltd,Israel,10.00,10,1,1,Stent tiết niệu
"Giá đỡ (stent) các loại, các cỡ khác",G12112.06,"Khung giá đỡ (stent) niệu quản, phủ toàn bộ bằng kim loại",G12112.06,1,"25,000,000",0,Allium Ltd,Israel,0.00,10,0,0,Stent tiết niệu
"Giá đỡ (stent) các loại, các cỡ khác",G12112.07,Khung giá đỡ (stent) tiền liệt tuyến phủ toàn bộ các cỡ,G12112.07,1,"28,000,000",1,Allium Ltd,Israel,10.00,10,1,1,Stent tiết niệu
"Giá đỡ (stent) các loại, các cỡ khác",G12114.24,Stent đường mật bằng nhựa,G12114.24,1,"900,000",285,Boston Scientific Corporation,Hoa Kỳ,57.00,500,285,285,Stent đường mật
"Giá đỡ (stent) các loại, các cỡ khác",G12114.25,"Stent đường mật, sợi kép, có cover các số",G12114.25,1,"18,500,000",1,S&G Biotech,Hàn Quốc,5.00,20,1,1,Stent đường mật
"Giá đỡ (stent) các loại, các cỡ khác",G12114.26,Stent kim loại đại tràng,G12114.26,1,"24,000,000",0,Boston Scientific Limited,Ireland,0.00,10,0,0,Stent đại tràng
"Giá đỡ (stent) các loại, các cỡ khác",G12114.27,Stent kim loại đường mật,G12114.27,1,"19,000,000",0,S&G Biotech,Hàn Quốc,0.00,40,0,0,Stent đường mật
"Giá đỡ (stent) các loại, các cỡ khác",G12114.28,Stent kim loại đường mật phủ toàn phần hoặc một phần hoặc không phủ các cỡ,G12114.28,1,"24,000,000",56,Boston Scientific Limited,Ireland,80.00,70,56,56,Stent đường mật
"Giá đỡ (stent) các loại, các cỡ khác",G12114.29,Stent kim loại tá tràng chất liệu Nitinol,G12114.29,1,"24,000,000",0,Boston Scientific Limited,Ireland,0.00,5,0,0,Stent tá tràng
"Giá đỡ (stent) các loại, các cỡ khác",G12114.30,Khung giá đỡ (stent) chặn cổ túi phình mạch não,G12114.30,1,"45,000,000",0,Perflow Medical Ltd,Israel,0.00,5,0,0,Stent mạch não
"Giá đỡ (stent) các loại, các cỡ khác",G12125.05,Khung giá đỡ (stent) mạch não chuyển dòng cấu trúc nhỏ,G12125.05,1,"210,000,000",2,Balt,Pháp,40.00,5,2,2,Stent mạch não
"Giá đỡ (stent) các loại, các cỡ khác",G12128.08,Khung giá đỡ (stent) tĩnh mạch các cỡ,G12128.08,1,"46,500,000",1,Optimed Medizinische Instrumete GmbH,Đức,20.00,5,1,1,Stent tĩnh mạch
"Giá đỡ (stent) các loại, các cỡ khác",G12129.05,Khung giá đỡ (stent) nội mạch chặn dòng chảy trong túi phình mạch não,G12129.05,1,"250,000,000",0,MicroVention Inc.,Hoa Kỳ,0.00,1,0,0,Stent mạch não
"Giá đỡ (stent) các loại, các cỡ khác",G12129.06,Khung giá đỡ (stent) nội mạch làm thay đổi dòng chảy mạch não loại 2 lớp,G12129.06,1,"205,000,000",0,MicroVention Costa Rica S.R.L.,Costa Rica,0.00,5,0,0,Stent mạch não
