Nhóm,Mã,Bộ ,Tên,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,SL thầu năm trước
Khớp gối,B000023,Bộ khớp gối toàn phần bảo tồn xương,Khớp gối 1,4,"58,500,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,MicroPort Orthopedics Inc.,Hoa Kỳ,98.75,80,79,79,
Khớp gối,B000025,Bộ khớp gối toàn phần có xi,Khớp gối 2,4,"62,100,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,"b-ONE Ortho, Corp.",Hoa Kỳ,100.00,20,20,20,
Khớp gối,B000581,Bộ khớp gối toàn phần gióng trục động học,Khớp gối 3,4,"64,000,000",CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,MicroPort Orthopedics Inc.,Hoa Kỳ,0.00,30,0,0,
Khớp gối,B000536,Bộ khớp gối toàn phần có xi măng loại cố định loại 2,Khớp gối 4,5,"57,120,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,Smith&Nephew Inc,Mỹ,90.00,10,9,9,
Khớp gối,B000537,Bộ khớp gối nhân tạo toàn phần có xi măng phương pháp hi sinh dây chằng chéo sau,Khớp gối 5,5,"78,255,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VIỆT SING,Smith&Nephew Inc,Mỹ,76.00,50,38,38,
Khớp gối,B000206,Bộ khớp gối toàn phần có xi măng loại cố định. góc gập gối 155 độ,Khớp gối 6,3,"75,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,115.00,120,138,138,
Khớp gối,B000207,Bộ khớp gối loại một ngăn bảo tồn xương,Khớp gối 7,2,"54,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,80.00,5,4,4,
Khớp gối,B000208,Bộ khớp gối toàn phần có xi măng loại mono bản lề xoay chuôi dài phù hợp thay lại và mất chức năng dây chằng,Khớp gối 8,1,"190,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,60.00,5,3,3,
Khớp gối,B000209,Bộ khớp gối toàn phần loại module bản lề xoay phù hợp thay lại và mất chức năng dây chằng. kết hợp chuôi dài có xi măng,Khớp gối 9,1,"300,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ CỔNG VÀNG,Waldemar Link GmbH & Co. KG,Đức,40.00,5,2,2,
Khớp gối,B000294,"Bộ khớp gối toàn phần, thiết kế theo giải phẫu, có xi măng, mâm chày thiết kế trái phải theo giải phẫu, cố định hoặc linh động",Khớp gối 10,4,"53,000,000",CÔNG TY TNHH HÀ NỘI IEC,Peter Brehm,Đức,112.50,80,90,90,
