Nhóm,Mã,Bộ ,Tên,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,SL thầu năm trước
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22011,"Khung giá đỡ (stent) động mạch vành bọc màng sinh học có phủ thuốc, cho các tổn thương phức tạp",A22011,1,"38,300,000",264,CID S.p.A,Italy,114.78,230,264,264,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22031,Khung giá đỡ (stent) động mạch vành loại phủ thuốc có khả năng mở nhánh,A22031,1,"36,980,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI Y TẾ TÂM VIỆT,Ashitaka Factory of Terumo Corporation,Nhật Bản,80.00,100,80,80,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22051,"Khung giá đỡ (stent) động mạch vành phủ thuốc, ngăn khuếch tán ion kim loại",A22051,1,"40,500,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,123.89,180,223,223,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22041,"Khung giá đỡ (stent) động mạch vành phủ thuốc, thanh khung dạng lõi kép",A22041,1,"44,190,000",CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP VẬT TƯ Y TẾ,Medtronic Ireland,Ireland,129.17,120,155,155,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22061,Khung giá đỡ (stent) động mạch vành sinh học phủ thuốc điều trị kép các cỡ,A22061,1,"39,500,000",CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ VIỆT ĐỨC,OrbusNeich Medical B.V.,Hà Lan,112.67,150,169,169,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22071,"Khung giá đỡ (stent) mạch vành phủ thuốc sirolimus có gắn cản quang, biên dạng đầu típ nhỏ phủ ái nước",A22071,1,"22,500,000",CÔNG TY TNHH PHÁT TRIỂN NGUYÊN PHƯƠNG,Công ty cổ phần nhà máy trang thiết bị y tế USM Healthcare,Việt Nam,56.50,200,113,113,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22081,Khung giá đỡ (stent) mạch vành phủ thuốc Sirolimus Polymer tự tiêu,A22081,1,"21,400,000",CÔNG TY TNHH XUÂN VY,Công ty Cổ phần Nhà máy Trang thiết bị Y tế USM Healthcare,Việt Nam,72.22,450,325,325,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22021,Stent động mạch vành phủ thuốc cho tổn thương phức tạp,A22021,1,"43,500,000",CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ Y TẾ DMEC,Abbott Vascular,Ireland,130.00,150,195,195,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22091,Stent động mạch vành phủ thuốc trên nền polymer tự tiêu,A22091,1,"45,500,000",CÔNG TY TNHH MỘT THÀNH VIÊN KHẢI CA,Boston Scientific Corporation,Mỹ,58.00,50,29,29,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22101,"Stent mạch vành loại phủ thuốc, thiết kế linh hoạt",A22101,1,"28,000,000",CÔNG TY TNHH XUÂN VY,Công ty Cổ phần Nhà máy Trang thiết bị Y tế USM Healthcare,Việt Nam,124.00,50,62,62,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A28041,Khung giá đỡ (stent) mạch vành có màng bọc,A28041,1,"58,500,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,100.00,5,5,5,
"Stent động mạch thận các loại, các cỡ",A27071,Khung giá đỡ (stent) động mạch thận và mạch ngoại vi,A27071,1,"17,900,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,112.86,70,79,79,
