Nhóm,Mã,Bộ ,Tên,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,SL thầu năm trước
Khớp gối,KG1,Bộ khớp gối toàn phần bảo tồn dây chằng chéo,Khớp gối 1,1,"98,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer Inc; ,Mỹ; Ireland; Đức,100.00,48,48,48,
Khớp gối,KG2,Bộ khớp gối toàn phần có xi măng giảm dần đa bán kính,Khớp gối 2,1,"53,600,000",Công ty TNHH Medison,Johnson & Johnson Mỹ,Mỹ,0.00,5,0,0,
Khớp gối,KG3,"Bộ khớp gối toàn phần, thiết kế theo giải phẫu, có xi măng, mâm chày thiết kế trái phải theo giải phẫu, loại 2 trong 1: cố định hoặc linh động",Khớp gối 3,1,"55,000,000",CÔNG TY TNHH HÀ NỘI IEC,"Peter Brehm, Synimed, Teknimed","CHLB Đức, Pháp, G7",180.00,20,36,36,
Khớp gối,KG4,"Khớp gối toàn phần có xi măng, titan phủ gốm, pe crosslinked vitamin E",Khớp gối 4,1,"72,000,000",CÔNG TY TNHH HÀ NỘI IEC,"Implantcast, Synimed, Teknimed","CHLB Đức, Pháp, G7",80.00,15,12,12,
Khớp gối,KG5,"Khớp gối toàn phần hybrid, 1,2 xi măng, lồi cầu không xi măng, thiết kế theo giải phẫu, loại 2 trong 1: cố định hoặc linh động",Khớp gối 5,1,"65,000,000",CÔNG TY TNHH HÀ NỘI IEC,"Peter Brehm, Synimed, Teknimed","CHLB Đức, Pháp, G7",0.00,2,0,0,
Khớp gối,KG6,"Khớp gối toàn phần, ceramic on pe, có xi măng, lồi cầu và mâm chày ceramic, thiết kế anatomy loại  linh động",Khớp gối 6,1,"99,000,000",CÔNG TY TNHH HÀ NỘI IEC,"Peter Brehm, Synimed, Teknimed","CHLB Đức, Pháp, G7",220.00,5,11,11,
Khớp gối,KG7,Bộ khớp gối toàn phần có xi măng,Khớp gối 7,1,"63,530,000",Công ty Cổ phần Thiết bị Y tế Việt Sing,Smith&Nephew; Heraeus Medical,Mỹ; Đức; Trung Quốc,120.00,5,6,6,
Khớp gối,KG8,"Khớp gối nhân tạo toàn phần có xi măng thế hệ mới phương pháp hi sinh dây chằng chéo sau, lồi cầu chất liệu o.zirconium",Khớp gối 8,1,"99,300,000",Công ty Cổ phần Thiết bị Y tế Việt Sing,Smith&Nephew;Heraeus Medical,Mỹ; Đức,120.00,5,6,6,
Khớp gối,KG9,"Khớp gối nhân tạo toàn phần có xi măng thế hệ mới, phương pháp hi sinh dây chằng chéo sau, lồi cầu cocr.",Khớp gối 9,1,"70,905,000",Công ty Cổ phần Thiết bị Y tế Việt Sing,Smith&Nephew; Heraeus Medical,Mỹ; Đức,0.00,5,0,0,
Khớp gối,KG10,Bộ khớp gối toàn phần bảo tồn xương,Khớp gối 10,1,"63,900,000",Công ty cổ phần đầu tư Tuấn Ngọc Minh,Microport;Teknimed,Mỹ; Pháp,120.00,20,24,24,
Khớp gối,KG11,Bộ khớp gối toàn phần có xi,Khớp gối 11,1,"66,900,000",Công ty cổ phần đầu tư Tuấn Ngọc Minh,b-One;Teknimed,Mỹ;Pháp,90.00,10,9,9,
Khớp gối,KG12,Bộ khớp gối toàn phần có xi bảo tồn dây chằng,Khớp gối 12,1,"57,900,000",Công ty cổ phần đầu tư Tuấn Ngọc Minh,"Microport, Teknimed",Mỹ;Pháp,100.00,5,5,5,
Khớp gối,KG13,Bộ khớp gối toàn phần có xi măng cố định,Khớp gối 13,1,"66,850,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG CODUPHA,Biomet Orthopedics; Biomet France SARL,Mỹ; Pháp,0.00,12,0,0,
Khớp gối,KG14,Khớp gối toàn phần có xi măng loại cố định ổn định phía sau,Khớp gối 14,1,"65,000,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG CODUPHA,Lima Corporate S.p.A & Tecres S.p.A,Ý,120.00,5,6,6,
Khớp gối,KG15,Khớp gối toàn phần có xi măng loại di động ổn định phía sau,Khớp gối 15,1,"70,000,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG CODUPHA,Lima Corporate S.p.A & Tecres S.p.A,Ý,120.00,5,6,6,
Khớp gối,KG16,"Khớp gối toàn phần có xi măng, lớp lót có bổ sung vitamin E tích hợp đầu chờ miếng ghép xương",Khớp gối 16,1,"61,440,000",Tổng công ty thiết bị y tế Việt Nam-CTCP,United orthopedic Corporation + SYNIMED (Synergie Ingénierie Médicale) S.A.R.L ,"Đài Loan, Pháp",112.50,8,9,9,
Khớp gối,KG17,"Khớp gối toàn phần thay lại có xi măng, lớp lót có bổ xung vitamin e dạng modul có đầu chờ miếng ghép và chuôi nối dài chuyển trục",Khớp gối 17,1,"80,080,000",Tổng công ty thiết bị y tế Việt Nam-CTCP,United orthopedic Corporation + SYNIMED (Synergie Ingénierie Médicale) S.A.R.L ,"Đài Loan, Pháp",0.00,2,0,0,
Khớp gối,KG18,Bộ khớp gối toàn phần cố định có trục cam chống trượt,Khớp gối 18,1,"71,500,000",Tổng công ty thiết bị y tế Việt Nam-CTCP,Corin Ltd;Osartis GmbH,"Anh, Đức",100.00,20,20,20,
Khớp gối,KG19,"Bộ khớp gối toàn phần có xi măng loại cố định, góc gập gối 155 độ",Khớp gối 19,1,"72,000,000",Công Ty Cổ Phần Trang Thiết Bị Y Tế Cổng Vàng,Link,Đức,0.00,20,0,0,
Khớp háng bán phần có xi măng,BPCX1,Bộ khớp háng nhân tạo bán phần có xi măng,Khớp háng bán phần có xi măng 1,1,"36,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer Inc;Osartis GmbH,"Mỹ,Đức",103.33,30,31,31,
Khớp háng bán phần có xi măng,BPCX2,Bộ khớp háng nhân tạo bán phần có xi măng loại chuôi dài,Khớp háng bán phần có xi măng 2,1,"57,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer Inc; Osartis GmbH,Mỹ; Đức,90.00,10,9,9,
Khớp háng bán phần có xi măng,BPCX3,"Bộ khớp háng bán phần bipolar có xi măng, chuôi bóng, góc cổ chuôi 135 độ",Khớp háng bán phần có xi măng 3,1,"42,000,000",CÔNG TY TNHH HÀ NỘI IEC,"Implantcast, Synimed, Teknimed","CHLB Đức, Pháp, G7",72.00,25,18,18,
Khớp háng bán phần có xi măng,BPCX4,Bộ khớp háng bán phần có xi măng chuôi dài,Khớp háng bán phần có xi măng 4,1,"51,400,000",Công ty cổ phần đầu tư Tuấn Ngọc Minh,"Signature,Teknimed","Ireland, Pháp",0.00,5,0,0,
Khớp háng bán phần có xi măng,BPCX5,Bộ khớp háng nhân tạo bán phần có xi măng chuôi ngắn tự định tâm,Khớp háng bán phần có xi măng 5,1,"43,950,000",Công ty cổ phần đầu tư Tuấn Ngọc Minh,"Signature,Teknimed","Ireland, Pháp",53.33,15,8,8,
Khớp háng bán phần có xi măng,BPCX6,Bộ khớp háng bán phần có xi có góc bờ ngoài vuông,Khớp háng bán phần có xi măng 6,1,"35,000,000",Tổng công ty thiết bị y tế Việt Nam-CTCP,Corin Ltd;Osartis GmbH,"Anh, Đức",100.00,5,5,5,
Khớp háng bán phần không xi măng,BPKX1,Bộ khớp háng bán phần không xi măng,Khớp háng bán phần không xi măng 1,1,"51,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer Inc,Mỹ,80.00,10,8,8,
Khớp háng bán phần không xi măng,BPKX2,Bộ khớp háng bán phần không xi măng chuôi dài,Khớp háng bán phần không xi măng 2,1,"67,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer Inc;Zimmer GmbH,Mỹ; Thụy Sỹ,40.00,10,4,4,
Khớp háng bán phần không xi măng,BPKX3,"Bộ khớp háng bán phần bipolar không xi măng, chuôi phủ ha, góc cổ chuôi 133,135,138 độ",Khớp háng bán phần không xi măng 3,1,"50,000,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,"CHLB Đức, G7",120.00,10,12,12,
