Nhóm,Mã,Bộ ,Tên,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,SL thầu năm trước
Khớp gối,KG1,"Khớp gối toàn phần có xi măng, lớp lót có bổ sung vitamin e tích hợp đầu chờ miếng ghép xương",Khớp gối 1,5,"61,440,000",Công ty Cổ phần Dược phẩm Bến Thành,united orthopedic corporation - Synimed,Đài Loan - Pháp,60.00,5,3,3,0
Khớp gối,KG2,"Khớp gối toàn phần thay lại có xi măng, lớp lót có bổ xung vitamin e dạng modul có đầu chờ miếng ghép và chuôi nối dài chuyển trục",Khớp gối 2,5,"80,080,000",Công ty Cổ phần Dược phẩm Bến Thành,united orthopedic corporation - Synimed,Đài Loan - Pháp,100.00,3,3,3,0
Khớp gối,KG3,"Bộ khớp gối toàn phần có xi măng loại cố định, góc gập gối 155 độ",Khớp gối 3,4,"72,000,000",Công ty cổ phần trang thiết bị y tế Cổng Vàng,LINK,Đức,0.00,20,0,0,0
Khớp gối,KG4,Bộ khớp gối toàn phần bảo tồn xương,Khớp gối 4,0,"64,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Microport / Teknimed,Mỹ / Pháp,35.00,20,7,7,0
Khớp gối,KG5,Bộ khớp gối toàn phần có xi,Khớp gối 5,0,"67,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,b-One / Teknimed,Mỹ / Pháp,0.00,10,0,0,0
Khớp gối,KG6,Bộ khớp gối toàn phần có xi bảo tồn dây chằng,Khớp gối 6,0,"58,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Microport / Teknimed,Mỹ / Pháp,13.33,15,2,2,0
Khớp gối,KG7,Bộ khớp gối toàn phần có xi măng giảm dần đa bán kính,Khớp gối 7,4,"53,600,000",Công ty TNHH Medison,Depuy Synthes,Mỹ/ Ai Len/ Anh,0.00,5,0,0,0
Khớp gối,KG8,Bộ khớp gối toàn phần,Khớp gối 8,5,"65,000,000",Công ty TNHH Thiết bị y tế Danh,"Zimmer, Osartis","Mỹ/ Ireland, Đức",65.00,40,26,26,0
Khớp gối,KG9,Bộ khớp gối toàn phần bảo tồn dây chằng chéo,Khớp gối 9,0,"98,000,000",Công ty TNHH Thiết bị y tế Danh,"Zimmer, Osartis","Mỹ/ Ireland, Đức",89.58,48,43,43,0
Khớp gối,KG10,"Bộ khớp gối toàn phần, thiết kế theo giải phẫu, có xi măng, mâm chày thiết kế trái phải theo giải phẫu, loại 2 trong 1: cố định hoặc linh động",Khớp gối 10,6,"55,000,000",CÔNG TY TNHH HÀ NỘI IEC,"Peter Brehm, Synimed, Implantcast","Đức, Pháp",70.00,10,7,7,0
Khớp gối,KG11,"Khớp gối toàn phần có xi măng, titan phủ gốm, pe crosslinked vitamin e",Khớp gối 11,4,"72,000,000",CÔNG TY TNHH HÀ NỘI IEC,"Implantcast, Synimed","Đức, Pháp",0.00,5,0,0,0
Khớp gối,KG12,"Khớp gối toàn phần hybrid, 1/2 xi măng, lồi cầu không xi măng, thiết kế theo giải phẫu, loại 2 trong 1: cố định hoặc linh động",Khớp gối 12,6,"65,000,000",CÔNG TY TNHH HÀ NỘI IEC,"Peter Brehm, Synimed, Implantcast","Đức, Pháp",0.00,3,0,0,0
Khớp gối,KG13,"Khớp gối toàn phần, ceramic on pe, có xi măng, lồi cầu và mâm chày ceramic, thiết kế anatomy loại linh động",Khớp gối 13,5,"110,000,000",CÔNG TY TNHH HÀ NỘI IEC,"Peter Brehm, Synimed, Implantcast","Đức, Pháp",66.67,3,2,2,0
Khớp gối,KG14,Bộ khớp gối toàn phần cố định có trục cam chống trượt,Khớp gối 14,5,"82,200,000",Công ty TNHH Xuất nhập khẩu Hoàng Năm,Corin Ltd,Anh,15.00,20,3,3,0
Khớp gối,KG15,Bộ khớp gối toàn phần có xi măng cố định,Khớp gối 15,0,"68,500,000",Công ty TNHH Trang Thiết Bị Y Tế và Tư Vấn Môi Trường Tâm Thy,Biomet Orthopedics; Biomet France SARL,Mỹ/ Pháp,0.00,17,0,0,0
Khớp háng bán phần có xi măng,BPCX1,Bộ khớp háng bán phần có xi măng,Khớp háng bán phần có xi 1,0,"51,500,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Signature / Teknimed,Ireland / Pháp,0.00,10,0,0,0
Khớp háng bán phần có xi măng,BPCX2,Bộ khớp háng bán phần có xi măng góc 135 độ,Khớp háng bán phần có xi 2,6,"47,750,000",Công ty Cổ phần Thiết bị Y tế Việt Sing,"
 Smith& Nephew Inc","Mỹ, Pháp, Thụy Sỹ, Đức",25.00,40,10,10,0
Khớp háng bán phần có xi măng,BPCX3,"Bộ khớp háng bán phần bipolar có xi măng, chuôi bóng, góc cổ chuôi 135 độ",Khớp háng bán phần có xi 3,5,"42,000,000",CÔNG TY TNHH HÀ NỘI IEC,"Implantcast, Synimed","Đức, Pháp",33.33,45,15,15,0
Khớp háng bán phần có xi măng,BPCX4,Bộ khớp háng bán phần có xi có góc bờ ngoài vuông,Khớp háng bán phần có xi 4,5,"39,800,000",Công ty TNHH Xuất nhập khẩu Hoàng Năm,Corin Ltd,Anh,46.67,15,7,7,0
Khớp háng bán phần có xi măng,BPCX5,Bộ khớp háng nhân tạo bán phần có xi măng chuôi ngắn tự định tâm,Khớp háng bán phần có xi 5,6,"44,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Signature / Teknimed,Ireland / Pháp,20.00,30,6,6,0
Khớp háng bán phần có xi măng,BPCX6,Bộ khớp háng nhân tạo bán phần có xi măng,Khớp háng bán phần có xi 6,5,"36,000,000",Công ty TNHH Thiết bị y tế Danh,"Zimmer, Osartis","Mỹ, Đức",54.29,35,19,19,0
Khớp háng bán phần có xi măng,BPCX7,Bộ khớp háng nhân tạo bán phần có xi măng loại chuôi dài,Khớp háng bán phần có xi 7,5,"56,000,000",Công ty TNHH Thiết bị y tế Danh,"Zimmer, Osartis","Mỹ, Đức",90.00,10,9,9,0
Khớp háng bán phần không xi măng,BPKX1,Khớp háng bán phần không xi măng góc cổ 130º,Khớp háng bán phần không xi măng 1,3,"42,400,000",Công ty Cổ phần Dược phẩm Bến Thành,united orthopedic corporation,Đài Loan,0.00,5,0,0,0
Khớp háng bán phần không xi măng,BPKX2,"Khớp háng bán phần không xi măng, chuôi dài dạng thẳng/cong góc cổ 130º",Khớp háng bán phần không xi măng 2,3,"61,600,000",Công ty Cổ phần Dược phẩm Bến Thành,united orthopedic corporation,Đài Loan,600.00,3,18,18,0
Khớp háng bán phần không xi măng,BPKX3,Bộ khớp háng bán phần không xi chuôi dài kiểu liền một khối phủ toàn phần hydroxyapatite,Khớp háng bán phần không xi măng 3,0,"67,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Microport,Mỹ,0.00,5,0,0,0
Khớp háng bán phần không xi măng,BPKX4,Bộ khớp háng bán phần không xi măng chuôi 3 điểm tì,Khớp háng bán phần không xi măng 4,3,"54,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Signature,Ireland,20.00,15,3,3,0
Khớp háng bán phần không xi măng,BPKX5,Bộ khớp háng bán phần không xi măng,Khớp háng bán phần không xi măng 5,4,"49,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer,Mỹ,120.00,10,12,12,0
Khớp háng bán phần không xi măng,BPKX6,Bộ khớp háng bán phần không xi măng chuôi dài,Khớp háng bán phần không xi măng 6,4,"68,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer,Mỹ/ Thụy Sỹ,10.00,10,1,1,0
Khớp háng bán phần không xi măng,BPKX7,"Bộ khớp háng bán phần không xi góc 135 độ chuôi phủ ha chỏm 22, 28",Khớp háng bán phần không xi măng 7,3,"50,620,000",Công ty Cổ phần Thiết bị Y tế Việt Sing,"
 Smith& Nephew Inc","Mỹ, Đức, Thụy Sỹ",0.00,22,0,0,0
Khớp háng bán phần không xi măng,BPKX8,"Bộ khớp háng bán phần bipolar không xi măng, chuôi phủ ha, góc cổ chuôi 133/135/138 độ",Khớp háng bán phần không xi măng 8,3,"50,000,000",CÔNG TY TNHH HÀ NỘI IEC,Implantcast,Đức,80.00,10,8,8,0
Khớp háng bán phần không xi măng,BPKX9,"Khớp háng bán phần không xi măng, loại chuôi dạng mô đun, dài 200mm, cổ dài 50/60/70mm tuỳ chỉnh 360 độ, các cỡ",Khớp háng bán phần không xi măng 9,5,"88,000,000",CÔNG TY TNHH HÀ NỘI IEC,Peter Brehm,Đức,0.00,5,0,0,0
Khớp háng bán phần không xi măng,BPKX10,Bộ khớp háng bán phần không xi măng chuôi phủ nhám bề mặt,Khớp háng bán phần không xi măng 10,4,"52,470,000",Công ty Cổ Phần Thương Mại Dịch Vụ Hải Đăng Vàng,Mathys,Thụy Sỹ,0.00,8,0,0,0
Khớp háng bán phần không xi măng,BPKX11,Bộ khớp háng bán phần không xi chiều dài cổ chuôi cố định,Khớp háng bán phần không xi măng 11,2,"43,400,000",Công ty TNHH Xuất nhập khẩu Hoàng Năm,Corin Ltd,Anh,80.00,10,8,8,0
Khớp háng bán phần không xi măng,BPKX12,Bộ khớp háng bán phần không xi măng chuôi dài thay lại,Khớp háng bán phần không xi măng 12,0,"85,000,000",Công ty TNHH Trang Thiết Bị Y Tế và Tư Vấn Môi Trường Tâm Thy,Biomet Orthopedics,Mỹ,0.00,7,0,0,0
Khớp háng bán phần không xi măng,BPKX13,"Bộ khớp háng bán phần không xi măng chuôi nén xương, góc cổ chuôi 138 độ",Khớp háng bán phần không xi măng 13,0,"58,400,000",Công ty TNHH Trang Thiết Bị Y Tế và Tư Vấn Môi Trường Tâm Thy,Biomet Orthopedics,Mỹ,0.00,7,0,0,0
Khớp háng toàn phần không xi măng,TPKX1,"Bộ khớp háng toàn phần không xi măng, chuôi giải phẫu học phủ calcium phosphate, góc cổ thân chuôi 126 độ, ceramic on ceramic",Khớp háng toàn phần không xi măng 1,5,"96,000,000",Công ty cổ phần trang thiết bị y tế Cổng Vàng,LINK,Đức,0.00,5,0,0,0
Khớp háng toàn phần không xi măng,TPKX2,"Bộ khớp háng toàn phần không xi măng, chuôi giải phẫu học phủ calcium phosphate, góc cổ thân chuôi 126 độ, ceramic on pe",Khớp háng toàn phần không xi măng 2,5,"77,000,000",Công ty cổ phần trang thiết bị y tế Cổng Vàng,LINK,Đức,0.00,15,0,0,0
Khớp háng toàn phần không xi măng,TPKX3,"Bộ khớp háng toàn phần không xi măng, góc cổ thân chuôi 130 độ, chuôi phủ calcium phosphate, ceramic on ceramic",Khớp háng toàn phần không xi măng 3,5,"85,000,000",Công ty cổ phần trang thiết bị y tế Cổng Vàng,LINK,Đức,0.00,20,0,0,0
Khớp háng toàn phần không xi măng,TPKX4,"Bộ khớp háng toàn phần không xi măng, góc cổ thân chuôi 130 độ, chuôi phủ calcium phosphate, ceramic on pe",Khớp háng toàn phần không xi măng 4,5,"65,000,000",Công ty cổ phần trang thiết bị y tế Cổng Vàng,LINK,Đức,0.00,35,0,0,0
Khớp háng toàn phần không xi măng,TPKX5,"Bộ khớp háng toàn phần không xi măng, góc cổ thân chuôi 130 độ, chuôi phủ calcium phosphate, metal on pe",Khớp háng toàn phần không xi măng 5,5,"57,000,000",Công ty cổ phần trang thiết bị y tế Cổng Vàng,LINK,Đức,0.00,25,0,0,0
Khớp háng toàn phần không xi măng,TPKX6,Khớp háng toàn phần không xi măng ceramic on ceramic góc cổ 130º,Khớp háng toàn phần không xi măng 6,5,"87,600,000",Công ty Cổ phần Dược phẩm Bến Thành,united orthopedic corporation,Đài Loan,100.00,5,5,5,0
Khớp háng toàn phần không xi măng,TPKX7,Khớp háng toàn phần không xi măng ceramic on pe có vitamin e góc cổ 130º,Khớp háng toàn phần không xi măng 7,5,"75,600,000",Công ty Cổ phần Dược phẩm Bến Thành,united orthopedic corporation,Đài Loan,120.00,5,6,6,0
Khớp háng toàn phần không xi măng,TPKX8,Khớp háng toàn phần không xi măng chuôi dài loại thẳng/ cong metal on pe có vitamin e góc cổ 130º,Khớp háng toàn phần không xi măng 8,5,"82,800,000",Công ty Cổ phần Dược phẩm Bến Thành,united orthopedic corporation,Đài Loan,66.67,3,2,2,0
Khớp háng toàn phần không xi măng,TPKX9,Khớp háng toàn phần không xi măng metal on pe có vitamin e góc cổ 130º,Khớp háng toàn phần không xi măng 9,5,"63,600,000",Công ty Cổ phần Dược phẩm Bến Thành,united orthopedic corporation,Đài Loan,60.00,5,3,3,0
Khớp háng toàn phần không xi măng,TPKX10,Bộ khớp háng toàn phần không xi măng,Khớp háng toàn phần không xi măng 10,0,"64,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Signature,Ireland,10.00,10,1,1,0
Khớp háng toàn phần không xi măng,TPKX11,Bộ khớp háng toàn phần không xi măng 2 chuyển động,Khớp háng toàn phần không xi măng 11,6,"87,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Signature,Ireland,68.00,25,17,17,0
Khớp háng toàn phần không xi măng,TPKX12,Bộ khớp háng toàn phần không xi măng ceramic,Khớp háng toàn phần không xi măng 12,0,"71,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Signature,Ireland,107.69,13,14,14,0
Khớp háng toàn phần không xi măng,TPKX13,Bộ khớp háng toàn phần không xi măng ceramic on ceramic,Khớp háng toàn phần không xi măng 13,0,"87,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Signature,Ireland,120.00,5,6,6,0
Khớp háng toàn phần không xi măng,TPKX14,"Bộ khớp háng toàn phần không xi măng loại chuôi dài thay lại, có cổ rời kỹ thuật ít xâm lấn",Khớp háng toàn phần không xi măng 14,0,"90,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Microport,Mỹ,0.00,5,0,0,0
Khớp háng toàn phần không xi măng,TPKX15,Bộ khớp háng toàn phần không xi măng phủ ha,Khớp háng toàn phần không xi măng 15,0,"64,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Microport,Mỹ,0.00,15,0,0,0
Khớp háng toàn phần không xi măng,TPKX16,Bộ khớp háng toàn phần không xi măng phủ ha ceramic,Khớp háng toàn phần không xi măng 16,0,"71,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Microport,Mỹ,0.00,21,0,0,0
Khớp háng toàn phần không xi măng,TPKX17,"Bộ khớp háng toàn phần không xi với chuôi cổ liền , phủ plasma, ceramic on ceramic",Khớp háng toàn phần không xi măng 17,0,"87,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Microport,Mỹ,120.00,5,6,6,0
Khớp háng toàn phần không xi măng,TPKX18,"Bộ khớp háng toàn phần không xi với chuôi cổ liền , phủ toàn phần ha",Khớp háng toàn phần không xi măng 18,0,"62,000,000",Công ty Cổ phần Đầu tư Tuấn Ngọc Minh,Microport,Mỹ,0.00,5,0,0,0
Khớp háng toàn phần không xi măng,TPKX19,Bộ khớp háng toàn phần không xi măng chỏm lớn chất liệu sứ,Khớp háng toàn phần không xi măng 19,0,"75,000,000",Công ty Cổ Phần Y tế Thành Ân,Signature,Ireland,100.00,10,10,10,0
Khớp háng toàn phần không xi măng,TPKX20,Bộ khớp háng toàn phần không xi măng chỏm lớn,Khớp háng toàn phần không xi măng 20,0,"70,000,000",Công ty Cổ Phần Y tế Thành Ân,Microport,Mỹ,0.00,15,0,0,0
Khớp háng toàn phần không xi măng,TPKX21,Bộ khớp háng toàn phần không xi ceramic on ceramic phủ ha toàn bộ,Khớp háng toàn phần không xi măng 21,5,"71,800,000",Công ty TNHH Medison,Depuy Synthes,Mỹ/ Anh/ Ai Len/ Pháp/ Đức/ Trung Quốc,2.00,50,1,1,0
Khớp háng toàn phần không xi măng,TPKX22,Bộ khớp háng toàn phần không xi ceramic on polyethylen phủ ha toàn bộ,Khớp háng toàn phần không xi măng 22,5,"53,000,000",Công ty TNHH Medison,Depuy Synthes,Mỹ/ Anh/ Ai Len/ Pháp/ Đức/ Trung Quốc,3.33,30,1,1,0
Khớp háng toàn phần không xi măng,TPKX23,Bộ Khớp Háng Toàn Phần Không Xi măng Metal on Polyethylen,Khớp háng toàn phần không xi măng 23,5,"43,700,000",Công ty TNHH Medison,Depuy Synthes,Mỹ/ Anh/ Ai Len/ Pháp/ Trung Quốc,0.00,20,0,0,0
Khớp háng toàn phần không xi măng,TPKX24,Bộ khớp háng toàn phần không xi măng ổ cối cầu trúc dạng sợi tăng khoảng trống,Khớp háng toàn phần không xi măng 24,5,"72,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer,Mỹ/ Thụy Sỹ,73.53,68,50,50,0
Khớp háng toàn phần không xi măng,TPKX25,Bộ khớp háng toàn phần không xi măng ổ cối cấu trúc dạng xương xốp,Khớp háng toàn phần không xi măng 25,5,"98,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer,Mỹ/ Thụy Sỹ,160.00,15,24,24,0
Khớp háng toàn phần không xi măng,TPKX26,"Khớp háng toàn phần không xi măng loại chuôi dài chống xoay 8 rãnh, ổ cối có bề mặt cố định dạng sợi",Khớp háng toàn phần không xi măng 26,5,"91,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer,Mỹ/ Thụy Sỹ,40.00,10,4,4,0
Khớp háng toàn phần không xi măng,TPKX27,Khớp háng toàn phần không xi măng ổ cối cấu trúc xương xốp không khóa loại 1,Khớp háng toàn phần không xi măng 27,5,"89,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer,Mỹ,52.38,21,11,11,0
Khớp háng toàn phần không xi măng,TPKX28,Khớp háng toàn phần không xi măng ổ cối cấu trúc xương xốp không khóa loại 2,Khớp háng toàn phần không xi măng 28,5,"95,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer,Mỹ/ Thụy Sỹ,92.73,55,51,51,0
Khớp háng toàn phần không xi măng,TPKX29,Khớp háng toàn phần không xi măng ổ cối cấu trúc xương xốp không khóa loại 3,Khớp háng toàn phần không xi măng 29,5,"105,000,000",Công ty TNHH Thiết bị y tế Danh,Zimmer,Mỹ/ Thụy Sỹ,160.71,28,45,45,0
Khớp háng toàn phần không xi măng,TPKX30,Bộ khớp háng toàn phần không xi măng cấu trúc titan 3d,Khớp háng toàn phần không xi măng 30,5,"65,000,000",CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VĨNH ĐỨC,Lima Corporate,Ý,20.00,15,3,3,0
Khớp háng toàn phần không xi măng,TPKX31,Bộ khớp háng toàn phần không xi măng chuyển động đôi cấu trúc titan 3d,Khớp háng toàn phần không xi măng 31,5,"85,000,000",CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VĨNH ĐỨC,Lima Corporate,Ý,40.00,10,4,4,0
Khớp háng toàn phần không xi măng,TPKX32,Khớp háng tòan phần không xi măng ceramic on ceramic cấu trúc titan 3d với chuôi phủ ha 55µm,Khớp háng toàn phần không xi măng 32,0,"90,000,000",CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VĨNH ĐỨC,Lima Corporate,Ý,0.00,10,0,0,0
Khớp háng toàn phần không xi măng,TPKX33,Bộ khớp háng toàn phần không xi măng chuôi phủ ha góc mở 135 độ,Khớp háng toàn phần không xi măng 33,5,"69,100,000",Công ty Cổ phần Thiết bị Y tế Việt Sing, Smith& Nephew Inc,"Thụy Sỹ, Mỹ, Đức, Trung Quốc, Mexico, Malaysia",0.00,25,0,0,0
Khớp háng toàn phần không xi măng,TPKX34,"Khớp háng toàn phần không xi măng chuôi phủ ha góc mở 135 độ, chỏm 32,36",Khớp háng toàn phần không xi măng 34,5,"89,100,000",Công ty Cổ phần Thiết bị Y tế Việt Sing, Smith& Nephew Inc,"Thụy Sỹ, Đức, Trung Quốc, Mỹ, Malaysia, Mexico, Anh",20.00,10,2,2,0
