Nhóm,Mã,Bộ ,Tên,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,SL thầu năm trước
"Giá đỡ (stent) các loại, các cỡ khác",A25021,"Khung giá đỡ (stent) kim loại đường mật can thiệp qua nội soi tự bung, có gắn thòng lọng để thu hồi Stent khi cần.",A25021,1,"20,000,000",CÔNG TY TNHH MỘT THÀNH VIÊN CVS MEDICAL,"Mediwood Co., Ltd",Hàn Quốc,12.00,50,6,6,
"Giá đỡ (stent) các loại, các cỡ khác",A25022,"Khung giá đỡ (Stent) kim loại tá tràng, môn vị qua nội soi tự bung, có gắn thòng lọng để thu hồi Stent",A25022,1,"20,000,000",CÔNG TY TNHH MỘT THÀNH VIÊN CVS MEDICAL,"Mediwood Co., Ltd",Hàn Quốc,0.00,10,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",A25023,"Khung giá đỡ (Stent) kim loại thực quản qua nội soi tự bung, có gắn thòng lọng để thu hồi Stent",A25023,1,"20,000,000",CÔNG TY TNHH MỘT THÀNH VIÊN CVS MEDICAL,"Mediwood Co., Ltd",Hàn Quốc,0.00,20,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",A25024,"Khung giá đỡ (Stent) kim loại trực tràng, đại tràng can thiệp qua nội soi, chất liệu tự bung, có gắn thòng lọng để thu hồi Stent",A25024,1,"20,000,000",CÔNG TY TNHH MỘT THÀNH VIÊN CVS MEDICAL,"Mediwood Co., Ltd",Hàn Quốc,0.00,5,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",A25025,Khung giá đỡ (stent) niệu đạo phủ toàn bộ các cỡ,A25025,1,"28,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ ĐẠI DƯƠNG,Allium Ltd,Israel,0.00,7,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",A25026,Khung giá đỡ (stent) tiền liệt tuyến phủ toàn bộ các cỡ,A25026,1,"28,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ ĐẠI DƯƠNG,Allium Ltd,Israel,0.00,5,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",A25027,Hệ thống khung giá đỡ động mạch kèm đoạn mạch nhân tạo,A25027,1,"325,000,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Jotec Gmbh,Đức,0.00,5,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",A25111,"Stent kim loại đường mật tự bung, có cover",A25111,1,"21,000,000",CÔNG TY TNHH THIẾT BỊ Y TẾ ETC,"M.I.Tech Co., Ltd.",Hàn Quốc,20.00,10,2,2,
"Giá đỡ (stent) các loại, các cỡ khác",A25121,Stent kim loại tá tràng tự bung có cover hoặc không cover,A25121,1,"23,000,000",CÔNG TY TNHH THIẾT BỊ Y TẾ ETC,"M.I.Tech Co., Ltd.",Hàn Quốc,10.00,10,1,1,
"Giá đỡ (stent) các loại, các cỡ khác",A25101,Stent kim loại đường mật phủ toàn phần hoặc một phần hoặc không phủ các cỡ,A25101,1,"22,000,000",CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HÀ THÀNH,Boston Scientific Limited,Ireland,147.14,70,103,103,
"Giá đỡ (stent) các loại, các cỡ khác",A21011,Bộ stent graft cho động mạch chủ ngực,A21011,1,"259,500,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI Y TẾ TÂM VIỆT,Bolton Medical Inc,Mỹ,20.00,15,3,3,
"Giá đỡ (stent) các loại, các cỡ khác",A21061,Bộ stent graft động mạch chủ bụng loại thân chính phân nhánh,A21061,1,"280,000,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI Y TẾ TÂM VIỆT,Bolton Medical Inc,Mỹ,80.00,5,4,4,
"Giá đỡ (stent) các loại, các cỡ khác",A21062,Stent graft nối dài cho động mạch chủ ngực,A21062,1,"60,000,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI Y TẾ TÂM VIỆT,Bolton Medical Inc,Mỹ,0.00,10,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",A27121,Khung giá đỡ (stent) tĩnh mạch các cỡ,A27121,1,"46,500,000",CÔNG TY TNHH THIÊN VIỆT,Optimed Medizinische Instrumemte GmbH.,Đức,30.00,10,3,3,
"Giá đỡ (stent) các loại, các cỡ khác",A21041,"Bộ stent graft cho động mạch chủ ngực phủ ái nước, kèm phụ kiện",A21041,1,"280,000,000",CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP VẬT TƯ Y TẾ,Medtronic Ireland,Ireland,113.33,15,17,17,
"Giá đỡ (stent) các loại, các cỡ khác",A21051,Bộ stent graft điều trị phình động mạch chủ bụng,A21051,1,"340,000,000",CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP VẬT TƯ Y TẾ,Medtronic Ireland,Ireland,126.67,15,19,19,
"Giá đỡ (stent) các loại, các cỡ khác",A21071,Stent Graft bổ sung cho điều trị phình động mạch chủ các loại,A21071,1,"84,000,000",CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP VẬT TƯ Y TẾ,Medtronic Ireland,Ireland,90.00,20,18,18,
"Giá đỡ (stent) các loại, các cỡ khác",A25011,"Khung giá đỡ (stent) kim loại cho kỹ thuật Tips, chống dịch chuyển.",A25011,1,"28,865,000",CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT BỊ Y TẾ TIẾN PHÁT,"TaeWoong Medical Co., Ltd.",Hàn Quốc,26.67,30,8,8,
"Giá đỡ (stent) các loại, các cỡ khác",A24021.1,Khung giá đỡ (stent) mạch não đổi hướng dòng chảy,A24021.1,1,"177,000,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Micro Therapeutics, Inc. dba ev3 Neurovascular",Mỹ,11.54,130,15,15,
"Giá đỡ (stent) các loại, các cỡ khác",A24021.2,Khung giá đỡ (stent) mạch não lấy huyết khối chuyên dụng,A24021.2,1,"45,000,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Micro Therapeutics, Inc. dba ev3 Neurovascular",Mỹ,0.00,10,0,0,
"Giá đỡ (stent) các loại, các cỡ khác",A23041,Khung giá đỡ (stent) sử dụng lấy huyết khối trong điều trị mạch não,A23041,1,"45,000,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Micro Therapeutics, Inc. dba ev3 Neurovascular",Mỹ,90.00,60,54,54,
"Giá đỡ (stent) các loại, các cỡ khác",A25071,Stent đường mật bằng nhựa,A25071,1,"840,000",CÔNG TY CỔ PHẦN VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ CƯỜNG AN,Boston Scientific Corporation,Hoa Kỳ,91.67,600,550,550,
"Giá đỡ (stent) các loại, các cỡ khác",A25081,"Stent đường mật, sợi kép, có cover các số",A25081,1,"18,300,000",CÔNG TY CỔ PHẦN VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ CƯỜNG AN,S&G BioTech Inc.,Hàn Quốc,90.00,10,9,9,
"Giá đỡ (stent) các loại, các cỡ khác",A25091,Stent kim loại đường mật,A25091,1,"18,800,000",CÔNG TY CỔ PHẦN VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ CƯỜNG AN,S&G BioTech Inc.,Hàn Quốc,100.00,10,10,10,
"Giá đỡ (stent) các loại, các cỡ khác",A23021,Khung giá đỡ (stent) mạch não tự giãn nở hỗ trợ can thiệp và điều trị phình mạch não và hỗ trợ thả coil,A23021,1,"54,450,000",CÔNG TY CỔ PHẦN Y DƯỢC VÀ CÔNG NGHỆ TUỆ ĐỨC,Acandis,Đức,98.57,70,69,69,
"Giá đỡ (stent) các loại, các cỡ khác",A23031,"Khung giá đỡ (stent) mạch não tự giãn nở, dùng trong điều trị xơ vữa động mạch nội sọ có thể thu hồi",A23031,1,"71,000,000",CÔNG TY CỔ PHẦN Y DƯỢC VÀ CÔNG NGHỆ TUỆ ĐỨC,Acandis,Đức,124.00,50,62,62,
"Giá đỡ (stent) các loại, các cỡ khác",A24011.1,Khung giá đỡ (stent) chuyển hướng dòng chảy cho can thiệp điều trị phình mạch não.,A24011.1,1,"177,000,000",CÔNG TY CỔ PHẦN Y DƯỢC VÀ CÔNG NGHỆ TUỆ ĐỨC,Acandis,Đức,6.92,130,9,9,
"Khung giá đỡ (stent có màng bọc, cover stent) các loại, các cỡ",COVER STENT,Khung giá đỡ (stent) có màng bọc tự nở,COVER STENT,1,"70,000,000",CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ Y TẾ DMEC,Angiomed GmbH & Co.Medizintechnik KG.,Đức,0.00,10,0,0,
"Stent động mạch cảnh các loại, các cỡ",A27081,Khung giá đỡ (stent) mạch cảnh,A27081,1,"26,500,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,EV3 Inc,Mỹ,120.45,220,265,265,
"Stent động mạch chi các loại, các cỡ",A27031,"Khung giá đỡ (stent) động mạch có màng bọc, bung bằng bóng cho điều trị tổn thương xơ vữa động mạch chậu",A27031,1,"60,000,000",CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ Y TẾ DMEC,ClearStream Technologies LTD.,Ireland,60.00,10,6,6,
"Stent động mạch chi các loại, các cỡ",A27021,Khung giá đỡ (stent) động mạch chậu có màng bọc sinh học vĩnh viễn loại tự nở,A27021,1,"25,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ NGỌC LAM,CID S.p.A,Italy,26.67,15,4,4,
"Stent động mạch chi các loại, các cỡ",A27041,Khung giá đỡ (stent) động mạch đùi có màng bọc sinh học vĩnh viễn,A27041,1,"22,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ NGỌC LAM,CID S.p.A,Italy,100.00,15,15,15,
"Stent động mạch chi các loại, các cỡ",A21091,Stent graft nối dài cho động mạch chậu,A21091,1,"60,000,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI Y TẾ TÂM VIỆT,Bolton Medical Inc,Mỹ,10.00,10,1,1,
"Stent động mạch chi các loại, các cỡ",A27051,Khung giá đỡ (stent) động mạch ngoại vi dạng lưới đan,A27051,1,"20,000,000",CÔNG TY TNHH THIÊN VIỆT,Optimed Medizinische Instrumemte GmbH.,Đức,46.67,30,14,14,
"Stent động mạch chi các loại, các cỡ",A27111,Khung giá đỡ (stent) nhớ hình nong mạch máu ngoại vi,A27111,1,"22,000,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,EV3 Inc,Mỹ,91.00,200,182,182,
"Stent động mạch chi các loại, các cỡ",A27061,Khung giá đỡ (stent) động mạch ngoại vi tự giãn nở,A27061,1,"17,800,000",CÔNG TY TNHH XUÂN VY,Công ty Cổ phần nhà máy trang thiết bị y tế USM Healthcare,Việt Nam,56.67,30,17,17,
"Stent động mạch thận các loại, các cỡ",A27071,Khung giá đỡ (stent) động mạch thận và mạch ngoại vi,A27071,1,"17,900,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,77.14,70,54,54,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22021,"Khung giá đỡ (stent) động mạch vành bọc thuốc, nở trên bóng",A22021,1,"43,500,000",CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ Y TẾ DMEC,Abbott Vascular,Ireland,150.00,70,105,105,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22051,"Khung giá đỡ (stent) động mạch vành phủ thuốc, ngăn khuếch tán ion kim loại",A22051,1,"42,600,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,168.00,100,168,168,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22041,"Khung giá đỡ (stent) động mạch vành phủ thuốc, thanh khung dạng lõi kép",A22041,1,"44,190,000",CÔNG TY CỔ PHẦN NGHIÊN CỨU VÀ PHÁT TRIỂN Y TẾ VIỆT NAM,Medtronic Ireland,Ireland,100.00,100,100,100,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22011,"Khung giá đỡ (stent) động mạch vành bọc màng sinh học có phủ thuốc, cho các tổn thương phức tạp",A22011,1,"38,300,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ NGỌC LAM,CID S.p.A,Italy,195.00,100,195,195,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22071,"Khung giá đỡ (stent) mạch vành phủ thuốc sirolimus có gắn cản quang, biên dạng đầu típ nhỏ phủ ái nước",A22071,1,"22,500,000",CÔNG TY TNHH PHÁT TRIỂN NGUYÊN PHƯƠNG,Công ty cổ phần nhà máy trang thiết bị y tế USM Healthcare,Việt Nam,62.00,250,155,155,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22031,Khung giá đỡ (stent) động mạch vành loại phủ thuốc có khả năng mở nhánh,A22031,1,"39,980,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI Y TẾ TÂM VIỆT,Ashitaka Factory of Terumo Corporation,Nhật Bản,98.57,70,69,69,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22061,Khung giá đỡ (stent) động mạch vành sinh học phủ thuốc điều trị kép các cỡ,A22061,1,"39,500,000",CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT BỊ Y TẾ TIẾN PHÁT,OrbusNeich Medical B.V.,Hà Lan,99.00,100,99,99,
"Stent động mạch vành phủ thuốc các loại, các cỡ",A22081,Khung giá đỡ (stent) mạch vành phủ thuốc Sirolimus Polymer tự tiêu,A22081,1,"21,400,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,Công ty Cổ phần Nhà máy Trang thiết bị Y tế USM Healthcare,Việt Nam,99.25,400,397,397,
