Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
,A27071,Khung giá đỡ (stent) động mạch thận và mạch ngoại vi ,Stent động mạch thân loại 1,1,"17,900,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Thụy Sĩ,10.00,100,10,10,5,0,5,0,0,0,0,0,0,0,0,0
,A27281,Khung giá đỡ động mạch thận,Stent động mạch thân loại 2,1,"17,900,000","CÔNG TY TNHH TƯ VẤN, THƯƠNG MẠI VÀ DỊCH VỤ KHOA HỌC, KỸ THUẬT TRANSMED",Abbott Vascular,Thụy Sĩ,0.00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06.02.040,14,"Stent động mạch chi các loại, các cỡ",,,,,,,,,,,,,,,,,,,,,,
,A27041,Khung giá đỡ (stent) động mạch đùi có màng bọc sinh học vĩnh viễn ,Stent mạch chi loại 1,1,"22,000,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ NGỌC LAM,CID S.p.A,Italy,23.33,30,7,7,3,2,2,0,0,0,0,0,0,0,0,0
,A27111,Khung giá đỡ (stent) nhớ hình nong mạch máu ngoại vi,Stent mạch chi loại 2,1,"22,000,000",CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ VIỆT ĐỨC,QualiMed Innovative Medizinprodukte GmbH,Mỹ,0.00,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27151,Khung giá đỡ (Stent) sử dụng cho động mạch dưới gối loại phủ thuốc,Stent mạch chi loại 3,1,"36,300,000",CÔNG TY TNHH THIẾT BỊ Y TẾ THĂNG LONG,Life Vascular Devices Biotech S.L (iVascular),Tây Ban Nha,0.00,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27161,Stent mạch ngoại vi loại tự bung,Stent mạch chi loại 4,1,"28,500,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Medtronic, Inc.",Mỹ,7.50,200,15,15,8,2,5,0,0,0,0,0,0,0,0,0
,A27261,"Khung giá đỡ (stent) động mạch ngoại biên loại tự bung, sử dụng được cho động mạch khoeo",Stent mạch chi loại 5,1,"28,500,000",CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ Y TẾ DMEC,"Angiomed 
GmbH & Co. 
Medizintechnik 
KG ",Mỹ,32.00,25,8,8,0,3,5,0,0,0,0,0,0,0,0,0
,A27181,"Khung giá đỡ (stent) động mạch ngoại biên, có lớp phủ trơ",Stent mạch chi loại 6,1,"28,500,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Mỹ,0.00,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27221,"Khung giá đỡ (Stent) động mạch ngoại vi loại tự nở, sử dụng cho động mạch chủ chậu.",Stent mạch chi loại 7,1,"28,500,000",LIÊN DANH HƯNG BÌNH - KHẢI CA,Boston Scientific Limited,Mỹ,16.00,25,4,4,0,2,2,0,0,0,0,0,0,0,0,0
,A27231,Khung giá đỡ (stent) động mạch ngoại vi phủ thuốc loại tự nở,Stent mạch chi loại 8,1,"28,500,000",LIÊN DANH HƯNG BÌNH - KHẢI CA,Boston Scientific Limited,Mỹ,0.00,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27211,"Stent mạch ngoại biên loại tự bung, chất liệu hợp kim",Stent mạch chi loại 9,1,"28,500,000",LIÊN DANH HƯNG BÌNH - KHẢI CA,Boston Scientific Limited,Mỹ,0.00,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27191,Khung giá đỡ (Stent) động mạch chi loại tự nở có phủ thuốc,Stent mạch chi loại 10,1,"28,500,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ NGỌC LAM,CID S.p.A,Mỹ,1.25,80,1,1,0,0,1,0,0,0,0,0,0,0,0,0
,A27251,"Stent mạch ngoại biên tự bung chất liệu nitinol, kiểm soát được tốc độ bung",Stent mạch chi loại 11,1,"28,500,000",CÔNG TY TNHH THIẾT BỊ Y TẾ THĂNG LONG,Life Vascular Devices Biotech S.L (iVascular),Mỹ,10.00,80,8,8,4,0,4,0,0,0,0,0,0,0,0,0
,A27291,Khung giá đỡ (Stent) động mạch ngoại biên bung bằng bóng.,Stent mạch chi loại 12,1,"28,500,000","CÔNG TY TNHH TƯ VẤN, THƯƠNG MẠI VÀ DỊCH VỤ KHOA HỌC, KỸ THUẬT TRANSMED",Abbott Vascular,Mỹ,0.00,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27271,"Khung giá đỡ (Stent) động mạch ngoại biên loại tự nở, sử dụng cho vị trí đùi nông hoặc khoeo",Stent mạch chi loại 13,1,"28,500,000","CÔNG TY TNHH TƯ VẤN, THƯƠNG MẠI VÀ DỊCH VỤ KHOA HỌC, KỸ THUẬT TRANSMED",Abbott Vascular,Mỹ,0.00,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27311,"Khung giá đỡ (Stent) mạch ngoại biên loại tự nở, tương thích dây dẫn 0.035 inch",Stent mạch chi loại 14,1,"28,500,000","CÔNG TY TNHH TƯ VẤN, THƯƠNG MẠI VÀ DỊCH VỤ KHOA HỌC, KỸ THUẬT TRANSMED",Abbott Vascular,Mỹ,0.00,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06.02.050,3,"Stent động mạch cảnh các loại, các cỡ",,,,,,,,,,,,,,,,,,,,,,
,A27081,Khung giá đỡ (stent) mạch cảnh ,Stent mạch cảnh loại 1,1,"26,500,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Medtronic, Inc.",Mỹ,19.50,400,78,78,24,23,31,0,0,0,0,0,0,0,0,0
,A27201,Khung giá đỡ (Stent) đỡ động mạch cảnh loại tự bung,Stent mạch cảnh loại 2,1,"28,500,000",LIÊN DANH HƯNG BÌNH - KHẢI CA,Boston Scientific Limited,Mỹ,0.00,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27301,"Khung giá đỡ (Stent) động mạch cảnh, có hỗ trợ thao tác bung một tay.",Stent mạch cảnh loại 3,1,"28,500,000","CÔNG TY TNHH TƯ VẤN, THƯƠNG MẠI VÀ DỊCH VỤ KHOA HỌC, KỸ THUẬT TRANSMED",Abbott Vascular,Mỹ,0.00,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N06.02.060,6,"Stent graft động mạch chủ ngực các loại, các cỡ",,,,,,,,,,,,,,,,,,,,,,
,A21041,"Bộ stent graft cho động mạch chủ ngực phủ ái nước, kèm phụ kiện ",Stent graft ngực loại 1,1,"280,000,000",CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HÀ THÀNH,Medtronic Ireland,Ireland,16.67,30,5,5,0,3,2,0,0,0,0,0,0,0,0,0
,A21031,"Bộ stent graft cho động mạch chủ ngực thuôn dài, đường kính lớn ",Stent graft ngực loại 2,1,"265,000,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI CỔNG VÀNG,Jotec GmbH,Đức,20.00,10,2,2,0,1,1,0,0,0,0,0,0,0,0,0
,A21111,Bộ stent Graft có nhánh bên dùng cho động mạch chủ ngực - bụng ,Stent graft ngực loại 3,1,"650,000,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI CỔNG VÀNG,Jotec GmbH,Đức,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A02201,Hệ thống khung giá đỡ động mạch kèm đoạn mạch nhân tạo ,Stent graft ngực loại 4,1,"325,000,000",CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HÀ THÀNH,Jotec GmbH,Đức,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A21131,Bộ stent graft cho động mạch chủ ngực có khả năng chống gập.,Stent graft ngực loại 5,1,"28,500,000",CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ VNT,"Bolton
Medical, Inc.",Mỹ,0.00,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
